episode_id,run_label,seed,decision_index,clock_time,next_clock_time,policy_name,proposed_action,actual_action,inventory_before,inventory_after,active_volume_before,active_volume_after,executed_market_order_volume,executed_limit_order_volume,executed_market_buy_volume,executed_limit_buy_volume,signed_executed_volume,reward_step,reward_cumulative,drift_after,strategic_direction,terminated,intervened,intervention_time,delta,delta_units,intervention_target,direction,clipped,clip_reason,selected_action_index,selected_action_before,selected_action_after,slack_action_index,slack_action_before,slack_action_after,requested_delta,realized_delta,planned_market_sell_before,planned_market_sell_after,planned_active_sell_before,planned_active_sell_after,best_bid_before,best_ask_before,midprice_before,spread_before,imbalance_before,bid_depth_before,ask_depth_before,best_bid_after,best_ask_after,midprice_after,spread_after,imbalance_after,bid_depth_after,ask_depth_after,future_midprice,delta_p_horizon,horizon,pair_seed,pair_t0,pair_label
episode_6ba520e8,baseline,100,0,0.0,15.0,heuristic_sell_policy,"[0.08387583273748951,0.4272810754774732,0.20083485091701664,0.1039567371155759,0.06529732830410914,0.052797269898033516,0.06595690555030202]","[0.08387583273748951,0.4272810754774732,0.20083485091701664,0.1039567371155759,0.06529732830410914,0.052797269898033516,0.06595690555030202]",20.0,18.0,0.0,17.0,2.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,2.0,2.0,19.0,19.0,999.0,1000.0,999.5,1.0,0.2817300756771457,8.531965511484378,4.781236188923392,999.0,1000.0,999.5,1.0,-0.3337623710980462,5.83365820889904,11.678586539310896,996.5,-3.0,5,100,1,baseline
episode_6ba520e8,baseline,100,1,15.0,30.0,heuristic_sell_policy,"[0.25408950819632364,0.3700911282520186,0.17261810769906133,0.08737099896001198,0.05255024292341655,0.04038750771082443,0.022892506258343475]","[0.25408950819632364,0.3700911282520186,0.17261810769906133,0.08737099896001198,0.05255024292341655,0.04038750771082443,0.022892506258343475]",18.0,13.0,17.0,13.0,5.0,0.0,0.0,0.0,-5.0,-0.15,-0.15,-2.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,5.0,5.0,18.0,18.0,999.0,1000.0,999.5,1.0,-0.3337623710980462,5.83365820889904,11.678586539310896,998.0,999.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,995.5,-4.0,5,100,1,baseline
episode_6ba520e8,baseline,100,2,30.0,45.0,heuristic_sell_policy,"[0.19686641113668696,0.3758754473787228,0.1791377820987481,0.09638005740738616,0.06483682135084803,0.05630573842038855,0.030597742207219322]","[0.19686641113668696,0.3758754473787228,0.1791377820987481,0.09638005740738616,0.06483682135084803,0.05630573842038855,0.030597742207219322]",13.0,10.0,13.0,10.0,3.0,0.0,0.0,0.0,-3.0,-0.15,-0.3,-3.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,3.0,3.0,13.0,13.0,998.0,999.0,998.5,1.0,-0.00017177939651259345,7.4589859606283175,7.461549001119692,997.0,998.0,997.5,1.0,0.23676537028226086,8.939026221395574,5.516466204553358,995.5,-3.0,5,100,1,baseline
episode_6ba520e8,baseline,100,3,45.0,60.0,heuristic_sell_policy,"[0.21612012195641161,0.3554326835136855,0.1714906933420372,0.09532960887376671,0.06759760711681088,0.06162619492767739,0.03240309026961068]","[0.21612012195641161,0.3554326835136855,0.1714906933420372,0.09532960887376671,0.06759760711681088,0.06162619492767739,0.03240309026961068]",10.0,8.0,10.0,8.0,2.0,0.0,0.0,0.0,-2.0,-0.2,-0.5,-4.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,2.0,2.0,10.0,10.0,997.0,998.0,997.5,1.0,0.23676537028226086,8.939026221395574,5.516466204553358,996.0,997.0,996.5,1.0,0.4505109061658418,11.3659343323926,4.305694586877442,995.5,-2.0,5,100,1,baseline
episode_6ba520e8,baseline,100,4,60.0,75.0,heuristic_sell_policy,"[0.2400853851935715,0.34815694973514877,0.16831262820766804,0.09404292913309088,0.0672109658023437,0.06169415113343812,0.020496990794738948]","[0.2400853851935715,0.34815694973514877,0.16831262820766804,0.09404292913309088,0.0672109658023437,0.06169415113343812,0.020496990794738948]",8.0,3.0,8.0,3.0,2.0,3.0,0.0,0.0,-5.0,-0.6,-1.1,-4.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,2.0,2.0,8.0,8.0,996.0,997.0,996.5,1.0,0.4505109061658418,11.3659343323926,4.305694586877442,996.0,997.0,996.5,1.0,0.35468229559428216,8.904500263326133,4.241755936058004,995.5,-1.0,5,100,1,baseline
episode_6ba520e8,baseline,100,5,75.0,90.0,heuristic_sell_policy,"[0.2617571738763319,0.3143386374097249,0.15544317313699446,0.0918673139795357,0.07112131424858453,0.0696200108870323,0.03585237646179627]","[0.2617571738763319,0.3143386374097249,0.15544317313699446,0.0918673139795357,0.07112131424858453,0.0696200108870323,0.03585237646179627]",3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,-1.0,-0.15,-1.25,-5.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,1.0,1.0,2.0,2.0,996.0,997.0,996.5,1.0,0.35468229559428216,8.904500263326133,4.241755936058004,995.0,996.0,995.5,1.0,0.470818220589878,11.900498550824762,4.281648752262108,995.5,-1.0,5,100,1,baseline
episode_6ba520e8,baseline,100,6,90.0,104.51684658388399,heuristic_sell_policy,"[0.2947353922975497,0.3140712830477931,0.15401339157921531,0.08919403306623074,0.06716810591022676,0.06437050693687629,0.016447287162108304]","[0.2947353922975497,0.3140712830477931,0.15401339157921531,0.08919403306623074,0.06716810591022676,0.06437050693687629,0.016447287162108304]",2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-0.35,-1.5999999999999999,-5.0,sell,True,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,1.0,1.0,2.0,2.0,995.0,996.0,995.5,1.0,0.470818220589878,11.900498550824762,4.281648752262108,995.0,996.0,995.5,1.0,0.30680893735932135,11.042904763438985,5.857660342510574,995.5,0.0,5,100,1,baseline
episode_6ba520e8,baseline,100,0,0.0,15.0,heuristic_sell_policy,"[0.08387583273748951,0.4272810754774732,0.20083485091701664,0.1039567371155759,0.06529732830410914,0.052797269898033516,0.06595690555030202]","[0.08387583273748951,0.4272810754774732,0.20083485091701664,0.1039567371155759,0.06529732830410914,0.052797269898033516,0.06595690555030202]",20.0,18.0,0.0,17.0,2.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,sell,False,False,,0.0,normalized,component,baseline,False,,,,,,,,0.0,0.0,2.0,2.0,19.0,19.0,999.0,1000.0,999.5,1.0,0.2817300756771457,8.531965511484378,4.781236188923392,999.0,1000.0,999.5,1.0,-0.3337623710980462,5.83365820889904,11.678586539310896,997.5,-2.0,5,100,1,plus
episode_6ba520e8,plus,100,1,15.0,30.0,heuristic_sell_policy,"[0.25408950819632364,0.3700911282520186,0.17261810769906133,0.08737099896001198,0.05255024292341655,0.04038750771082443,0.022892506258343475]","[0.3333333333333333,0.3888888888888889,0.16666666666666666,0.1111111111111111,0.0,0.0,0.0]",18.0,12.0,17.0,12.0,6.0,0.0,0.0,0.0,-6.0,-0.2,-0.2,-2.0,sell,False,True,1.0,1.0,lots,market,plus,False,,0.0,0.25408950819632364,0.3333333333333333,4.0,0.05255024292341655,0.0,1.0,1.0,5.0,6.0,18.0,18.0,999.0,1000.0,999.5,1.0,-0.3337623710980462,5.83365820889904,11.678586539310896,998.0,999.0,998.5,1.0,0.06210788570711192,7.929374182258013,7.002017042615401,996.5,-3.0,5,100,1,plus
episode_6ba520e8,plus,100,2,30.0,45.0,heuristic_sell_policy,"[0.17701654864664007,0.37087561249848816,0.17801298934165397,0.09761416389531627,0.0677485801749247,0.0605890456127377,0.04814305983023913]","[0.17701654864664007,0.37087561249848816,0.17801298934165397,0.09761416389531627,0.0677485801749247,0.0605890456127377,0.04814305983023913]",12.0,7.0,12.0,6.0,2.0,3.0,0.0,0.0,-5.0,-0.1,-0.30000000000000004,-3.0,sell,False,False,1.0,1.0,lots,market,plus,False,,0.0,0.17701654864664007,0.17701654864664007,4.0,0.0677485801749247,0.0677485801749247,1.0,0.0,2.0,2.0,11.0,11.0,998.0,999.0,998.5,1.0,0.06210788570711192,7.929374182258013,7.002017042615401,997.0,998.0,997.5,1.0,0.33951126676987914,9.66123461197344,4.763779722203397,996.5,-2.0,5,100,1,plus
